                                                                              CDX.NA.IG.22
                                                                              Effective Date: 20th March 2014
                                                                              Version 1. Annex Date 20th March 2014
                                                                              www.markit.com

                             Reference Entity        Sub-Index         CLIP             Reference Obligation            CUSIP/ISIN   Weighting   Monoline
                                                                                                                                                   Version 1. Annex Date 20th March 2014
                                                                                                                                                   www.markit.com

                              Reference Entity                                                   Sub-Index                   CLIP                            Reference Obligation                                  CUSIP/ISIN               Weighting                Monoline
 71   McDONALD'S CORPORATION                                                                       CONS                5D8148AD7                   MCD 5.8 15Oct17                                               58013MEB6                   0.008
 72   McKesson Corporation                                                                         CONS                UZDD52AA6                   MCK 7.65 01Mar27                                              581557AM7                   0.008
 73   MeadWestvaco Corporation                                                                  INDU, HVOL             5DB667AD2                   MWV 7.95 15Feb31                                              961548AY0                   0.008
 74   MetLife, Inc.                                                                                 FIN                5EA6BXAD8                   MET 4.75 08Feb21                                              59156RAX6                   0.008
 75   Mondelez International, Inc.                                                                 CONS                669B27AB6                   MONDINT 6.5 11Aug17                                           50075NAS3 
0.008
 76   Motorola Solutions, Inc.                                                                      TMT                6I209OAB7                   MOTSOL 6 15Nov17                                              620076AZ2                   0.008
 77   Nabors Industries, Inc.                                                                   ENRG, HVOL             68BEBEAC6                   NBR-Inc (3) 6.15 15Feb18                                      629568AQ9                   0.008
 78   National Rural Utilities Cooperative Finance Corporation                                     ENRG                69AB75AC5                   NRUC 8 01Mar32                                                637432CT0                   0.008
 79   Newell Rubbermaid Inc.                                                                       CONS                6B634BAF6                   NWL 6.25 15Apr18                                              651229AG1                   0.008
 80   Newmont Mining Corporation                                                                INDU, HVOL             6B67ALAA9                   NEM 5.875 01Apr35                                             651639AE6                   0.008
 81   Nordstrom, Inc.                                                                              CONS                6BABCAAB5                   JWN 6.95 15Mar28                                              655664AH3                   0.008
 82   NORFOLK SOUTHERN CORPORATION                                                                 INDU                6BADC8AB6                   NSC 7.7 15May17                                               655844AE8                   0.008
 83   Northrop Grumman Corporation                                                                 INDU                6CCE9HAA6                   NOC-SysCorp (3) 7.75 15Feb31                                  666807AW2                   0.008
 84   Omnicom Group Inc.                                                                            TMT                6E9AAAAD1                   OMC 4.45 15Aug20                                              682134AC5                   0.008
 85   Pfizer Inc.                                                                                  CONS                7I8789AA1                   PFE 4.65 01Mar18                                              717081AQ6                   0.008
 86   Pitney Bowes Inc.                                                                          TMT, HVOL             7J68BGAC5                   PBI 6.25 15Mar19                                              724479AH3                   0.008
 87   Quest Diagnostics Incorporated                                                             CONS, HVOL              7BCB7PAB5                   DGX 6.95 01Jul37                                              74834LAN0                   
0.008
 88   Raytheon Company                                                                             INDU                7CA622AD8                   RTN 7.2 15Aug27                                               755111AF8                   0.008
 89   Reynolds American Inc.                                                                       CONS                7D7884AF1                   RAI 3.25 01Nov22                                              761713AX4                   0.008
 90   Ryder System, Inc.                                                                           INDU                7FB89DAE3                   R 5.85 01Nov16 BondCall                                       78355HJK6                   0.008
 91   Safeway Inc.                                                                              CONS, HVOL             7FEB65AC7                   SWY 7.25 01Feb31                                              786514BA6                   0.008
 92   Sempra Energy                                                                                ENRG                897ED6AC2                   SRE 6.15 15Jun18                                              816851AJ8                   0.008
 93   Simon Property Group, L.P.                                                                    FIN                8AAG87AD2                   SPG-LP 5.25 01Dec16 BondCall                                  828807BW6                   0.008
 94   Southwest Airlines Co.                                                                       CONS                8C8BB5AC4                   LUV 5.125 01Mar17                                             844741AX6                   0.008
 95   Staples, Inc.                                                                             CONS, HVOL             8DA533AD4                   SPLS 2.75 12Jan18                                             855030AL6                   0.008
 96   Starwood Hotels & Resorts Worldwide, Inc.                                                    CONS                8DAE9AAC5                   HOT 6.75 15May18                                              85590AAL8                   0.008
 97   Target Corporation                                                                           CONS                8FD73GAF8                   TGT 5.375 01May17                                             87612EAP1                   0.008
 98   The Allstate Corporation                                                                      FIN                0C2002AC1                   ALL 6.75 15May18                                              020002AH4                   0.008
 99   THE CHUBB CORPORATION                                                                         FIN                1I8355AA7                   CB 6.6 15Aug18                                                171232AD3                   0.008
100   The Dow Chemical Company                                                                     INDU                2I6597AB3                   DOW 7.375 01Nov29                                             260543BJ1                   0.008
101   THE GAP, INC.                                                                             CONS, HVOL             39ABD6AC9                   GPS 5.95 12Apr21                                              364760AK4                   0.008
102   THE HARTFORD FINANCIAL SERVICES GROUP, INC.                                                   FIN                457B66AC8                   HIG 6 15Jan19                                                 416515AV6                   0.008
103   The Hillshire Brands Company                                                                 CONS                4H57DHAA5                   THHILL 4.1 15Sep20                                            803111AS2                   0.008
104   The Home Depot, Inc.                                                                         CONS                47A77DAC3                   HD 5.875 16Dec36 BondCall                                     437076AS1                   0.008
105   THE KROGER CO.                                                                               CONS                5F1148AD9                   KR 6.15 15Jan20                                               501044CH2                   0.008
106   The Procter & Gamble Company                                                                 CONS                7B6989AF3                   PG 1.6 15Nov18                                                742718EE5                   0.008
107   The Sherwin-Williams Company                                                                 INDU                8A677CAA3                   SHW 7.375 01Feb27                                             824348AL0                   0.008
108   The Walt Disney Company                                                                       TMT                279AEFAD5                   DIS 2.55 15Feb22                                              25468PCT1                   0.008
109   Time Warner Cable Inc.                                                                     TMT, HVOL             8GFA5LAB3                   TW-Cab 5.85 01May17                                           88732JAH1                   0.008
110   Time Warner Inc.                                                                              TMT                8GFA48AC1                   TW 5.875 15Nov16 BondCall                                     887317AC9                   0.008
111   Transocean Inc.                                                                           ENRG, HVOL             8HCBB3AB5                   RIG 7.375 15Apr18 Struc                                       893830AK5                   0.008
112   Tyson Foods, Inc.                                                                            CONS                9J26DDAF9                   TSN 4.5 15Jun22                                               902494AT0                   0.008
113   Union Pacific Corporation                                                                    INDU                997F99AD5                   UNP 6.625 01Feb29                                             907818CF3                   0.008
114   United Parcel Service, Inc.                                                                  CONS                9A2443AA6                   UPS-AmericaInc 8.375 01Apr30                                  911308AB0                   0.008
115   UnitedHealth Group Incorporated                                                               FIN                9A456TAE4                   UNH 6 15Feb18                                                 91324PBJ0                   0.008
116   Valero Energy Corporation                                                                    ENRG                9AAA4IAB8                   VLOC 8.75 15Jun30                                             91913YAB6                   0.008
117   Verizon Communications Inc.                                                                   TMT                9B579LAB7                   VRZN 5.5 01Apr17 BondCall                                     92343VAG9                   0.008
118   Viacom Inc.                                                                                   TMT                9B7A8SAD0                   VIAINC 6.875 30Apr36 Struc                                    925524AX8                   0.008
119   WAL-MART STORES, INC.                                                                        CONS                9C4256AC2                   WMT 5.875 05Apr27                                             931142CH4                   0.008
120   Weatherford International Ltd.                                                            ENRG, HVOL             GPE58HAB2                   WFT 4.5 15Apr22                                               94707VAC4                   0.008
121   Weyerhaeuser Company                                                                         INDU                9F837CAB6                   WY 7.125 15Jul23                                              962166AS3                   0.008
122   Whirlpool Corporation                                                                        CONS                9F9652AF3                   WHR 4.85 15Jun21                                              96332HCD9                   0.008
123   XEROX CORPORATION                                                                          TMT, HVOL             9HC533AE0                   XRX 6.35 15May18                                              984121BW2                   0.008
124   XLIT Ltd.                                                                                     FIN                GPHABPAA8                   XLITLTD 6.25 15May27                                          98372PAK4                   0.008
125   YUM! Brands, Inc.                                                                            CONS                9HGCDHAB5                   YUM 6.25 15Mar18                                              988498AC5                   0.008
